id,name,description,unit_price,merchant_id,created_at,updated_at
263397201,Romantic coffee service &quot;Rüdesheimer Kaffee&quot;,"This is a romantic coffee service, made by HEINRICH.
It consists of
Coffee pot
Sugar pot
Bowl for candies
6 mugs
6 saucers

These are used items which are in very good condition. No chips, no scratches etc.
A recipe for the Rüdesheimer Kaffee will come along

I will ship worldwide, please ask for shipping costs to your country.",8000,12334105,2016-01-11 12:17:26 UTC,1988-06-26 02:51:02 UTC
263430957,"Custom Listing: Twenty booklets R.H. Life, Biographical in nature, own publishing 2014.","Custom Listing: Twenty booklets R.H. Life, Biographical in nature, own publishing 2014.

Twenty illustrated booklets of the life of R.H. His childhood and adult life.

Glossy paper, soft bound, 20 pages

Publish date 2014.",100000,12334105,2016-01-11 17:41:20 UTC,1974-11-29 08:58:13 UTC
263500424,Du Romantisme,"Acrylique sur toile exécutée en 2015
Format : 61 x 50 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",60000,12334112,2016-01-11 11:30:35 UTC,1986-12-21 16:16:32 UTC
